CH;AG;Aargau (de);Canton
CH;AI;Appenzell Innerrhoden (de);Canton
CH;AR;Appenzell Ausserrhoden (de);Canton
CH;BE;Bern (de);Canton
CH;BL;Basel-Landschaft (de);Canton
CH;BS;Basel-Stadt (de);Canton
CH;FR;Fribourg (fr);Canton
CH;GE;Genève (fr);Canton
CH;GL;Glarus (de);Canton
CH;GR;Graubünden (de);Canton
CH;JU;Jura (fr);Canton
CH;LU;Luzern (de);Canton
CH;NE;Neuchâtel (fr);Canton
CH;NW;Nidwalden (de);Canton
CH;OW;Obwalden (de);Canton
CH;SG;Sankt Gallen (de);Canton
CH;SH;Schaffhausen (de);Canton
CH;SO;Solothurn (de);Canton
CH;SZ;Schwyz (de);Canton
CH;TG;Thurgau (de);Canton
CH;TI;Ticino (it);Canton
CH;UR;Uri (de);Canton
CH;VD;Vaud (fr);Canton
CH;VS;Valais (fr);Canton
CH;ZG;Zug (de);Canton
CH;ZH;Zürich (de);Canton
