HN;;.HONDURAS;;;;;;;;
HN;AMP;Amapala;Amapala;;1-------;AI;9401;;;
HN;ART;Amarateca;Amarateca;;--3-----;RL;0607;;1414N 08722W;
HN;AHS;Auas;Auas;;--34----;AI;0212;;1529N 08420W;
HN;BHG;Brus Laguna;Brus Laguna;;---4----;AI;9601;;;
HN;BUF;Búfalo;Bufalo;;--3--6--;RL;0501;;1523N 08800W;
HN;CAA;Catacamas;Catacamas;;---4----;AI;0001;;;
HN;CDD;Cauquira;Cauquira;;---4----;AI;0001;;;
HN;CHO;Choloma;Choloma;;--3-----;RQ;9501;;;
HN;CHT;Choluteca;Choluteca;;--3-----;RL;0201;;1317N 08711W;
HN;CHU;Chumbagua;Chumbagua;;--3-----;RL;0307;;1514N 08830W;
HN;COF;Cofradía;Cofradia;;--3-----;RL;0401;;1452N 08602W;
HN;CMY;Comayagua;Comayagua;;--34----;RL;0207;XPL;1427N 08738W;
HN;COM;Comayagüela;Comayaguela;;--3-----;RL;0207;;1405N 08712W;
HN;RUY;Copán;Copan;;---4----;AI;0212;;1450N 08909W;
HN;ENQ;Coronel E Soto Cano Ab;Coronel E Soto Cano Ab;;---4----;AI;0001;;;
HN;CYL;Coyoles;Coyoles;;---4----;AI;0001;;;
HN;CUY;Cuyamapa;Cuyamapa;;--3-----;RL;0307;;1517N 08729W;
HN;DNL;Danlí;Danli;;--3-----;RL;0607;;1402N 08634W;
HN;ELC;El Calán;El Calan;;--3-----;RL;0407;;1523N 08801W;
HN;PRO;El Progreso;El Progreso;;-23-----;RL;0407;;1524N 08748W;
HN;EDQ;Erandique;Erandique;;---4----;AI;0001;;;
HN;GAC;Gracias;Gracias;;---4----;AI;0001;;;
HN;GUO;Gualaco;Gualaco;;---4----;AI;0001;;;
HN;GJA;Guanaja;Guanaja;;1--4----;AI;9601;;;
HN;HNN;Henecan;Henecan;;1-------;AI;9401;;;
HN;IRN;Iriona;Iriona;;---4----;AI;0001;;;
HN;JUT;Juticalpa;Juticalpa;;---4----;AI;0001;;;
HN;LCE;La Ceiba;La Ceiba;;1--4----;AI;9601;;;
HN;LEZ;La Esperanza;La Esperanza;;---4----;AI;0001;;;
HN;LLM;La Lima;La Lima;;--3-----;RL;0201;;1525N 08755W;
HN;LUI;La Union;La Union;;---4----;AI;9601;;;
HN;LLH;Las Limas;Las Limas;;---4----;AI;0001;;;
HN;LMH;Limon;Limon;;---4----;AI;0001;;;
HN;MRJ;Marcala;Marcala;;---4----;AI;0001;;;
HN;MZN;Morazán;Morazan;;--3-----;RL;0607;;1519N 08736W;
HN;NAC;Naco;Naco;;--3-----;RL;0307;;1523N 00014W;
HN;OAN;Olanchito;Olanchito;;---4----;AI;9601;;;
HN;PCH;Palacios;Palacios;;---4----;AI;0001;;;
HN;PTL;Potrerillos;Potrerillos;;--3-----;RL;0201;;1400N 08646W;
HN;PCA;Puerto Castilla;Puerto Castilla;;1-------;RQ;9506;;;
HN;PCR;Puerto Cortés;Puerto Cortes;;1---5---;AI;9401;;;
HN;PEU;Puerto Lempira;Puerto Lempira;;---4----;AI;9601;;;
HN;RIO;Río Nance;Rio Nance;;--3-----;RL;0407;;1540N 08754W;
HN;RTB;Roatán;Roatan;;1--4----;AI;0212;;1618N 08633W;
HN;SLM;Salamar;Salamar;;0-------;RL;9811;;;
HN;SET;San Esteban;San Esteban;;---4----;AI;0001;;;
HN;SLO;San Lorenzo;San Lorenzo;;1-------;RQ;9506;;;
HN;SAP;San Pedro Sula;San Pedro Sula;;1--45---;AI;9601;;;
HN;SBA;Santa Barbara;Santa Barbara;;--3-----;RL;0607;;1455N 08814W;
HN;SAN;Santa Rita;Santa Rita;;--3-----;RL;0507;;1512N 08753W;
HN;SRI;Santa Rita;Santa Rita;;--3--6--;RL;0501;;1402N 08832W;
HN;SDH;Santa Rosa de Copán;Santa Rosa de Copan;;---4----;AI;0212;;1446N 08847W;
HN;STP;Siguatepeque;Siguatepeque;;--3-----;RL;0607;;1435N 08750W;
HN;SIN;Sinuapa;Sinuapa;;--3-----;RL;0607;;1427N 08911W;
HN;SCD;Sulaco;Sulaco;;---4----;AI;0001;;;
HN;TGA;Talanga;Talanga;;--3-----;RL;0601;;1424N 08705W;
HN;TGU;Tegucigalpa;Tegucigalpa;;1--45---;AI;9601;;;
HN;TEA;Tela;Tela;;1--4----;AI;9601;;;
HN;TCF;Tocoa;Tocoa;;---4----;AI;9601;;;
HN;TJI;Trujillo;Trujillo;;1--4----;AI;9601;;;
HN;UII;Utila;Utila;;---4----;AI;9601;;;
HN;VDA;Valle de Ángeles;Valle de Angeles;;--3-----;RL;0507;;1430N 08738W;
HN;VTA;Victoria;Victoria;;---4----;AI;0001;;;
HN;VLN;Villa Nueva;Villa Nueva;;0-------;;;;;
HN;VNA;Villanueva;Villanueva;;-23-----;RL;0307;;1519N 08800W;
HN;YOR;Yoro;Yoro;;--3-----;RL;0607;;1508N 08708W;
